,layer,type,coords.x1,coords.x2,coords.x3
509,C,Bone,3.6349999905,2.6610000134,-1.4090000391
510,C,Bone,3.6419999599,2.881000042,-1.3470000029
511,C,Bone,3.625,2.8929998875,-1.3550000191
512,C,Bone,3.760999918,2.9470000267,-1.3350000381
513,C,Bone,3.503000021,2.9530000687,-1.378000021
514,C,Bone,3.5799999237,2.9230000973,-1.3339999914
515,C,Bone,3.5499999523,2.9379999638,-1.3600000143
516,C,Bone,3.5629999638,2.8350000381,-1.3980000019
517,C,Bone,3.8199999332,2.9990000725,-1.3609999418
518,C,Bone,3.5239999294,2.9769999981,-1.3899999857
519,C,Bone,3.4500000477,2.8380000591,-1.4140000343
520,C,Bone,3.5380001068,2.9649999142,-1.4140000343
521,C,Bone,3.6770000458,2.9539999962,-1.4069999456
522,C,Bone,3.8570001125,2.9149999619,-1.4040000439
551,C,Bone,5.7899999619,2.2999999523,-1.3400000334
552,C,Tooth,5.8000001907,2.4000000954,-1.3500000238
553,C,Bone,5.5500001907,2.4000000954,-1.3700000048
554,C,Bone,5.5799999237,2.3800001144,-1.3600000143
555,C,Bone,5.1399998665,2.75,-1.3799999952
556,C,Bone,5.0500001907,2.75,-1.3700000048
557,C,Bone,5.4019999504,2.7769999504,-1.324000001
558,C,Tooth,5.1459999084,2.5710000992,-1.4220000505
569,C,Tooth,6.0999999046,2.5699999332,-1.3400000334
570,C,Bone,6.5500001907,2.2799999714,-1.3500000238
571,C,Bone,6.8400001526,2.1099998951,-1.3400000334
572,C,Bone,6.2800002098,2.1600000858,-1.3600000143
573,C,Bone,6.8600001335,2.1300001144,-1.3799999952
574,C,Bone,6.0399999619,2.2300000191,-1.4199999571
575,C,Tooth,6.25,2.2000000477,-1.4400000572
576,C,Bone,6.3559999466,2.4739999771,-1.3559999466
577,C,Bone,6.3959999084,2.4509999752,-1.4069999456
578,C,Bone,6.7750000954,2.1150000095,-1.4160000086
579,C,Bone,6.9219999313,2.7799999714,-1.3400000334
580,C,Tooth,6.8994002342,2.6308999062,-1.4270000458
585,C,Bone,7.9099998474,2.2000000477,-1.3400000334
586,C,Bone,7.9299998283,2.2300000191,-1.3799999952
587,C,Tooth,7.4499998093,2.0499999523,-1.4600000381
588,C,Bone,7.1999998093,2.3699998856,-1.4900000095
589,C,Bone,7.5500001907,2.3800001144,-1.5299999714
590,C,Bone,7.3439998627,2.8280000687,-1.3430000544
591,C,Bone,7.868999958,2.5750000477,-1.3710000515
592,C,Lithic,7.757999897,2.6500000954,-2.3729999065
593,C,Bone,7.6209998131,2.8139998913,-1.4069999456
594,C,Bone,7.6129999161,2.8369998932,-1.3899999857
595,C,Bone,7.4539999962,2.743999958,-1.375
596,C,Bone,7.5560002327,2.8570001125,-1.3589999676
597,C,Bone,7.4369997978,2.7279999256,-1.4170000553
598,C,Lithic,7.8569998741,2.6099998951,-1.4099999666
599,C,Bone,7.861000061,2.5929999352,-1.4029999971
616,C,Bone,8.5233001709,2.0585999489,-1.4019999504
617,C,Bone,8.5900001526,2.118999958,-1.358700037
618,C,Bone,8.4090003967,2.2829999924,-1.3559999466
619,C,Bone,8.5095996857,2.2871999741,-1.3729000092
620,C,Bone,8.1969995499,2.2660000324,-1.3569999933
621,C,Bone,8.1780004501,2.6979999542,-1.3509999514
622,C,Lithic,8.0229997635,2.614000082,-1.3789999485
623,C,Bone,8.2130002975,2.5299999714,-1.3769999743
624,C,Tooth,8.1420001984,2.5940001011,-1.4060000181
625,C,Bone,8.1899995804,2.7279999256,-1.4179999828
626,C,Tooth,8.4270000458,2.5510001183,-1.4140000343
627,C,Bone,8.6829996109,2.4119999409,-1.3860000372
628,C,Bone,8.8149995804,2.3949999809,-1.3559999466
629,C,Lithic,8.0869998932,2.6700000763,-1.4479999542
634,C,Bone,3.8729999065,3.0299999714,-1.442999959
635,C,Bone,3.8480000496,3.0320000648,-1.4470000267
649,C,Lithic,3.7890000343,2.760999918,-1.4950000048
650,C,Lithic,3.7219998837,2.9100000858,-1.4889999628
651,C,Tooth,3.5950000286,2.9179999828,-1.4880000353
652,C,Bone,3.5820000172,2.8550000191,-1.5290000439
