,id,layer,abrasion,oxid,weat,taphorecord,coords.x1,coords.x2,coords.x3
446,988,C,NA,NA,NA,NA,6.5999999046,2.5959999561,-1.7009999752
447,989,C,NA,NA,NA,NA,6.1659998894,2.0750000477,-1.6909999847
448,990,C,NA,NA,NA,NA,6.5349998474,2.2269999981,-1.7189999819
449,999,C,NA,NA,NA,NA,6.3819999695,2.1800000668,-1.7239999771
450,1000,C,NA,NA,NA,NA,6.1929998398,2.4189999104,-1.7419999838
451,1001,C,NA,NA,NA,NA,6.1880002022,2.0590000153,-1.7050000429
452,1002,C,NA,NA,NA,NA,6.2259998322,2.010999918,-1.7359999418
453,1335,C,NA,NA,NA,NA,6.1950001717,2.0510001183,-1.6900000572
454,1336,C,NA,NA,NA,NA,6.3280000687,2.239000082,-1.6829999685
455,1337,C,NA,NA,NA,NA,6.2230000496,2.3459999561,-1.6519999504
456,361,C,2,8,2,3,7.6500000954,2.25,-1.7400000095
457,756,C,3,8,3,2,7.7388000488,2.2850999832,-1.7187000513
458,780,C,2,7,2,3,7.1452999115,2.484400034,-1.6857999563
459,790,C,NA,NA,NA,NA,7.1570000648,2.5297000408,-1.7163000107
460,880,C,3,6,2,2,7.4699997902,2.3083000183,-1.6480000019
461,1093,C,NA,NA,NA,NA,7.9689998627,2.1949999332,-1.7089999914
462,1168,C,NA,NA,NA,NA,8.4779996872,2.367000103,-1.6469999552
463,1175,C,NA,NA,NA,NA,8.1780004501,2.0580000877,-1.6870000362
464,847,C,3,7,2,2,5.5009999275,2.2890000343,-1.7610000372
465,890,C,2,2,2,3,5.2210001945,2.7279999256,-1.8339999914
466,898,C,NA,NA,NA,NA,5.9580001831,2.0620000362,-1.8059999943
467,1004,C,NA,NA,NA,NA,6.3260002136,2.0739998817,-1.7749999762
468,1005,C,NA,NA,NA,NA,6.2950000763,2.3280000687,-1.7879999876
469,1006,C,NA,NA,NA,NA,6.2940001488,2.3619999886,-1.8059999943
470,1007,C,NA,NA,NA,NA,6.3379998207,2.364000082,-1.8150000572
471,1008,C,NA,NA,NA,NA,6.234000206,2.2539999485,-1.8480000496
472,1009,C,NA,NA,NA,NA,6.2350001335,2.111000061,-1.8400000334
473,1016,C,NA,NA,NA,NA,6.228000164,2.135999918,-1.8400000334
474,1017,C,NA,NA,NA,NA,6.2179999352,2.1240000725,-1.8439999819
475,1018,C,NA,NA,NA,NA,6.2690000534,2.1600000858,-1.8320000172
476,1019,C,NA,NA,NA,NA,6.2789998055,2.1749999523,-1.8450000286
477,1020,C,NA,NA,NA,NA,6.2600002289,2.1510000229,-1.8480000496
478,1021,C,NA,NA,NA,NA,6.3400001526,2.0390000343,-1.8200000525
479,1022,C,NA,NA,NA,NA,6.3340001106,2.0759999752,-1.8350000381
480,1023,C,NA,NA,NA,NA,6.5069999695,2.0950000286,-1.8309999704
481,1030,C,NA,NA,NA,NA,6.2740001678,2.246999979,-1.8500000238
482,1031,C,NA,NA,NA,NA,6.4770002365,2.5369999409,-1.7280000448
483,1032,C,NA,NA,NA,NA,6.6399998665,2.5959999561,-1.7940000296
484,1181,C,NA,NA,NA,NA,8.2620000839,2.0499999523,-1.7580000162
485,969,C,NA,NA,NA,NA,6.5100002289,1.8919999599,-1.7710000277
486,1075,C,NA,NA,NA,NA,6.632999897,1.9110000134,-1.7250000238
487,1325,C,NA,NA,NA,NA,8.5900001526,1.7009999752,-1.7569999695
488,975,C,NA,NA,NA,NA,8.4879999161,1.6160000563,-1.756000042
489,991,C,NA,NA,NA,NA,8.5059995651,1.6449999809,-1.7669999599
490,1010,C,NA,NA,NA,NA,8.4560003281,1.6499999762,-1.7619999647
491,1036,C,NA,NA,NA,NA,8.3599996567,1.6150000095,-1.8420000076
492,1041,C,NA,NA,NA,NA,8.3990001678,1.5759999752,-1.8400000334
493,892,C,2,7,3,3,5.6649999619,2.0392000675,-1.8766000271
494,1296,C,NA,NA,NA,NA,5.2740001678,2.5510001183,-1.9060000181
495,1297,C,NA,NA,NA,NA,5.8509998322,2.138999939,-1.8669999838
496,1298,C,NA,NA,NA,NA,5.8340001106,2.1619999409,-1.8609999418
497,1299,C,NA,NA,NA,NA,5.140999794,2.246999979,-1.9099999666
498,1301,C,NA,NA,NA,NA,5.8839998245,2.1489999294,-1.8960000277
499,1302,C,NA,NA,NA,NA,5.1750001907,2.2679998875,-1.9349999428
500,1312,C,NA,NA,NA,NA,5.2410001755,2.1989998817,-1.9409999847
501,1314,C,NA,NA,NA,NA,5.2729997635,2.3320000172,-1.9340000153
502,1315,C,NA,NA,NA,NA,5.7490000725,2.1919999123,-1.9140000343
503,1316,C,NA,NA,NA,NA,5.734000206,2.003000021,-1.8999999762
504,1033,C,NA,NA,NA,NA,6.4499998093,2.1619999409,-1.8489999771
505,1034,C,NA,NA,NA,NA,6.3400001526,2.242000103,-1.8559999466
506,1035,C,NA,NA,NA,NA,6.3260002136,2.3489999771,-1.8559999466
507,1047,C,NA,NA,NA,NA,8.3879995346,1.5490000248,-1.8990000486
508,1054,C,NA,NA,NA,NA,8.3509998322,1.5659999847,-1.8550000191
509,1061,C,NA,NA,NA,NA,8.3920001984,1.5980000496,-1.8650000095
510,1066,C,NA,NA,NA,NA,8.373000145,1.557000041,-1.9359999895
511,970,D,NA,NA,NA,NA,3.6019999981,2.8900001049,-1.6289999485
512,1076,D,NA,NA,NA,NA,3.5350000858,2.9200000763,-1.6619999409
513,1138,D,NA,NA,NA,NA,3.5639998913,2.9590001106,-1.6419999599
514,1207,D,NA,NA,NA,NA,3.5859999657,2.9119999409,-1.6339999437
515,1265,D,NA,NA,NA,NA,3.7249999046,2.760999918,-1.6369999647
516,1324,D,NA,NA,NA,NA,3.361000061,2.7550001144,-1.7239999771
517,1304,D,NA,NA,NA,NA,3.4179999828,2.7569999695,-1.7079999447
518,1323,D,NA,NA,NA,NA,3.4100000858,2.7569999695,-1.7220000029
519,908,D,NA,NA,NA,NA,4.3660001755,2.7620000839,-1.7000000477
520,909,D,NA,NA,NA,NA,4.138999939,2.5559999943,-1.6809999943
521,910,D,NA,NA,NA,NA,4.1500000954,2.5810000896,-1.6900000572
522,911,D,2,7,3,3,4.131000042,2.638999939,-1.67900002
523,912,D,3,8,2,2,4.0910000801,2.5510001183,-1.7250000238
524,913,D,2,4,3,3,4.140999794,2.5209999084,-1.7139999866
525,1326,D,NA,NA,NA,NA,3.1459999084,2.7369999886,-1.7819999456
526,976,D,NA,NA,NA,NA,3.3980000019,2.7880001068,-1.7640000582
527,992,D,NA,NA,NA,NA,3.5899999142,2.8450000286,-1.8159999847
528,1011,D,NA,NA,NA,NA,3.7509999275,2.9349999428,-1.8190000057
529,1024,D,NA,NA,NA,NA,3.8220000267,2.760999918,-1.7749999762
530,1037,D,NA,NA,NA,NA,3.5599999428,2.9489998817,-1.8450000286
531,1042,D,NA,NA,NA,NA,3.9900000095,2.9070000648,-1.7810000181
532,1048,D,NA,NA,NA,NA,3.6440000534,2.9119999409,-1.7760000229
533,1055,D,NA,NA,NA,NA,3.6019999981,2.9349999428,-1.7960000038
534,1288,D,NA,NA,NA,NA,3.4260001183,2.9460000992,-1.7890000343
535,971,D,NA,NA,NA,NA,6.3169999123,2.5929999352,-1.8159999847
536,1077,D,NA,NA,NA,NA,6.3249998093,2.1050000191,-1.8220000267
537,1098,D,NA,NA,NA,NA,6.9450001717,2.1040000916,-1.7419999838
538,1176,D,NA,NA,NA,NA,6.2300000191,2.0980000496,-1.8519999981
