,id,layer,patina,coords.x1,coords.x2,coords.x3
122,66,D,Fe-Mn spotted,8.1829996109,1.375,-2.6150000095
123,61,D,Fe-Mn covering,8.0419998169,1.317999959,-2.5969998837
124,57,D,Fe-Mn spotted,8.9029998779,1.128000021,-2.6180000305
125,63,D,Absent,8.0039997101,0.8999999762,-2.5480000973
126,64,D,Fe-Mn covering,8.2930002213,0.9430000186,-2.5859999657
127,67,D,Fe-Mn spotted,8.0670003891,0.8259999752,-2.6429998875
128,357,D,Absent,3.7739999294,2.003000021,-2.7339999676
129,356,D,White,4.8319997787,2.4570000172,-2.6760001183
130,11,D,Fe-Mn spotted,6.234000206,1.5959999561,-2.7309999466
131,329,D,Fe-Mn covering,8.5349998474,1.3329999447,-2.6919999123
132,330,D,Fe-Mn spotted,8.7849998474,1.300999999,-2.6830000877
133,331,D,Fe-Mn spotted,8.4549999237,1.3639999628,-2.7279999256
134,332,D,Fe-Mn spotted,8.329000473,1.2489999533,-2.7079999447
135,333,D,Fe-Mn spotted,8.498000145,1.3710000515,-2.7809998989
136,334,D,Fe-Mn covering,8.3990001678,1.1169999838,-2.7630000114
137,335,D,Absent,8.0740003586,1.1019999981,-2.7750000954
138,336,D,Fe-Mn spotted,8.1700000763,1.0520000458,-2.7899999619
139,337,D,Fe-Mn covering,8.265999794,1.3550000191,-2.9639999866
140,338,D,Fe-Mn spotted,8.6850004196,1.1569999456,-2.9379999638
141,339,D,Fe-Mn spotted,8.8219995499,1.1050000191,-3.0409998894
142,340,D,Brown,8.7390003204,1.121999979,-3.0429999828
143,8,D,Fe-Mn covering,3.861000061,2.6199998856,-3.1370000839
